scenario,seed,regime,lr,retained_lr,rho,avg_prem,rows
ev_only_tpo_heavy,0,telem,66.08,61.05,0.6129,2074.0,84795
ev_only_tpo_heavy,1,tariff,76.44,84.85,0.2874,1776.0,84764
ev_only_tpo_heavy,1,glm,64.42,62.85,0.6145,2108.0,84764
ev_only_tpo_heavy,1,telem,64.78,63.13,0.6145,2096.0,84764
ev_only_tpo_heavy,2,tariff,78.09,87.53,0.2817,1789.0,84519
ev_only_tpo_heavy,2,glm,66.15,62.86,0.6155,2111.0,84519
ev_only_tpo_heavy,2,telem,66.54,63.68,0.6155,2099.0,84519
prudent_load,0,tariff,74.27,80.6,0.36,1526.0,84344
prudent_load,0,glm,52.93,48.05,0.6386,2141.0,84344
prudent_load,0,telem,52.96,47.8,0.6386,2140.0,84344
prudent_load,1,tariff,73.13,77.7,0.3616,1518.0,84057
prudent_load,1,glm,52.14,47.39,0.6362,2129.0,84057
prudent_load,1,telem,52.17,47.39,0.6362,2128.0,84057
prudent_load,2,tariff,73.01,79.02,0.3592,1518.0,84207
prudent_load,2,glm,52.16,46.04,0.6362,2125.0,84207
prudent_load,2,telem,52.2,45.74,0.6362,2123.0,84207
tpo_reprice,0,tariff,70.74,76.36,0.3654,1602.0,84344
tpo_reprice,0,glm,63.51,57.66,0.6386,1784.0,84344
tpo_reprice,0,telem,63.55,57.37,0.6386,1783.0,84344
tpo_reprice,1,tariff,69.55,72.2,0.3662,1596.0,84057
tpo_reprice,1,glm,62.57,56.87,0.6362,1774.0,84057
tpo_reprice,1,telem,62.6,56.86,0.6362,1773.0,84057
tpo_reprice,2,tariff,69.43,74.03,0.3654,1596.0,84207
tpo_reprice,2,glm,62.59,55.24,0.6362,1771.0,84207
tpo_reprice,2,telem,62.64,54.89,0.6362,1769.0,84207
combo_hard,0,tariff,112.67,126.41,0.3857,1565.0,82595
combo_hard,0,glm,51.45,49.31,0.7037,3427.0,82595
combo_hard,0,telem,51.5,49.45,0.7038,3423.0,82595
combo_hard,1,tariff,111.8,121.88,0.3922,1552.0,82262
combo_hard,1,glm,50.79,49.35,0.7039,3417.0,82262
combo_hard,1,telem,50.82,48.87,0.704,3414.0,82262
combo_hard,2,tariff,113.63,125.35,0.3941,1563.0,82047
combo_hard,2,glm,51.07,49.91,0.7085,3477.0,82047
combo_hard,2,telem,51.14,49.3,0.7086,3472.0,82047
